bugid,tempo_space
574408,"[('E', '0'), ('C', '0'), ('C', '0'), ('C', '1'), ('C', '8'), ('A', '25'), ('Q', '25'), ('P', '25'), ('C', '25'), ('V', '33'), ('V', '33'), ('Y', '33'), ('W', '35'), ('C', '35'), ('F', '36'), ('Z', '36')]"
586142,"[('E', '0'), ('D', '0'), ('C', '0'), ('W', '1'), ('C', '1'), ('C', '6'), ('C', '13'), ('A', '20'), ('Q', '24'), ('Q', '25'), ('W', '28'), ('V', '28'), ('W', '28'), ('V', '29'), ('Y', '29'), ('W', '30'), ('W', '30'), ('V', '31'), ('Y', '31'), ('W', '34'), ('C', '36'), ('L', '36'), ('Z', '36')]"
587040,"[('E', '0'), ('C', '1'), ('D', '3'), ('C', '5'), ('A', '7'), ('V', '10'), ('A', '18'), ('C', '19'), ('V', '21'), ('Y', '21'), ('C', '21'), ('A', '21'), ('A', '21'), ('C', '21'), ('F', '21'), ('C', '22'), ('V', '31'), ('P', '34'), ('Y', '35'), ('D', '35'), ('L', '35'), ('Z', '35')]"
594381,"[('E', '0'), ('C', '0'), ('P', '8'), ('C', '8'), ('C', '14'), ('C', '14'), ('C', '14'), ('C', '21'), ('C', '27'), ('Z', '35')]"
594804,"[('E', '0'), ('C', '2'), ('W', '7'), ('Q', '7'), ('P', '7'), ('C', '7'), ('W', '8'), ('C', '8'), ('L', '8'), ('P', '8'), ('A', '8'), ('C', '8'), ('R', '24'), ('Q', '25'), ('P', '25'), ('C', '25'), ('C', '25'), ('C', '26'), ('C', '34'), ('W', '34'), ('Q', '34'), ('A', '34'), ('C', '34'), ('C', '34'), ('W', '35'), ('L', '35'), ('Z', '35')]"
596572,"[('E', '0'), ('V', '0'), ('C', '0'), ('V', '0'), ('Y', '35'), ('L', '36'), ('Z', '36')]"
597387,"[('M', '0'), ('C', '0'), ('C', '5'), ('C', '5'), ('A', '26'), ('V', '35'), ('Y', '35'), ('Z', '35')]"
597861,"[('E', '0'), ('C', '9'), ('C', '35'), ('Z', '35')]"
598383,"[('E', '0'), ('C', '0'), ('C', '14'), ('C', '19'), ('C', '21'), ('V', '27'), ('Y', '32'), ('Z', '35')]"
608037,"[('M', '0'), ('P', '0'), ('C', '0'), ('A', '15'), ('F', '20'), ('C', '20'), ('V', '20'), ('V', '20'), ('Y', '21'), ('C', '32'), ('C', '34'), ('C', '36'), ('L', '36'), ('Z', '36')]"
608158,"[('E', '0'), ('A', '0'), ('C', '0'), ('C', '1'), ('C', '1'), ('F', '4'), ('V', '5'), ('P', '10'), ('C', '10'), ('Y', '18'), ('C', '34'), ('C', '36'), ('L', '36'), ('Z', '36')]"
623911,"[('M', '0'), ('C', '0'), ('C', '0'), ('C', '14'), ('P', '15'), ('A', '31'), ('C', '31'), ('V', '31'), ('V', '32'), ('Y', '33'), ('C', '35'), ('L', '35'), ('Z', '35')]"
640062,"[('E', '0'), ('D', '0'), ('C', '0'), ('C', '1'), ('C', '2'), ('P', '10'), ('D', '10'), ('L', '10'), ('C', '22'), ('L', '23'), ('V', '29'), ('Y', '30'), ('C', '32'), ('A', '32'), ('V', '33'), ('Y', '34'), ('L', '35'), ('W', '35'), ('W', '36'), ('Z', '36')]"
651071,"[('E', '0'), ('C', '1'), ('A', '12'), ('Z', '35')]"
